#metadataBlock	name	dataverseAlias	displayName	blockURI
	MDS_fairagro		MDS_fairagro	
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	MDS_fairagro.citation.keyword.keywordVocabulary	MDS_fairagro.citation.keyword.keywordVocabulary	The controlled vocabulary used for the keyword term (e.g. LCSH, MeSH)		text	22		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.keyword	MDS_fairagro
	MDS_fairagro.citation.keyword.keywordVocabularyURI	MDS_fairagro.citation.keyword.keywordVocabularyURI	'The URL where one can access information about the term''s controlled vocabulary'		text	23		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.keyword	MDS_fairagro
	MDS_fairagro.citation.language	MDS_fairagro.citation.language	'A language that the Dataset''s files are written in'		text	24		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.citation	MDS_fairagro
	MDS_fairagro.citation.productionDate	MDS_fairagro.citation.productionDate	The date when the data were produced (not distributed, published, or archived)		text	25		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation	MDS_fairagro
	MDS_fairagro.citation.distributionDate	MDS_fairagro.citation.distributionDate	The date when the Dataset was made available for distribution/presentation		text	26		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation	MDS_fairagro
	MDS_fairagro.citation.publication	MDS_fairagro.citation.publication	The article or report that uses the data in the Dataset. The full list of related publications will be displayed on the metadata tab		none	27		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.citation	MDS_fairagro
	MDS_fairagro.citation.publication.publicationCitation	MDS_fairagro.citation.publication.publicationCitation	The full bibliographic citation for the related publication		text	28		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.publication	MDS_fairagro
	MDS_fairagro.citation.publication.publicationIDType	MDS_fairagro.citation.publication.publicationIDType	The type of identifier that uniquely identifies a related publication		text	29		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.publication	MDS_fairagro
	MDS_fairagro.citation.publication.publicationIDNumber	MDS_fairagro.citation.publication.publicationIDNumber	The identifier for a related publication		text	30		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.publication	MDS_fairagro
	MDS_fairagro.citation.publication.publicationURL	MDS_fairagro.citation.publication.publicationURL	The URL form of the identifier entered in the Identifier field, e.g. the DOI URL if a DOI was entered in the Identifier field. Used to display what was entered in the ID Type and ID Number fields as a link. If what was entered in the Identifier field has no URL form, the URL of the publication webpage is used, e.g. a journal article		text	31		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.publication	MDS_fairagro
	MDS_fairagro.citation.relatedDatasets	MDS_fairagro.citation.relatedDatasets	'Information, such as a persistent ID or citation, about a related dataset, such as previous research on the Dataset''s subject'		text	32		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.citation	MDS_fairagro
	MDS_fairagro.citation.timePeriodCovered	MDS_fairagro.citation.timePeriodCovered	The time period that the data refer to. Also known as span. This is the time period covered by the data, not the dates of coding, collecting data, or making documents machine-readable		none	33		FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.citation	MDS_fairagro
	MDS_fairagro.citation.timePeriodCovered.timePeriodCoveredStart	MDS_fairagro.citation.timePeriodCovered.timePeriodCoveredStart	The start date of the time period that the data refer to		text	34		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.timePeriodCovered	MDS_fairagro
	MDS_fairagro.citation.timePeriodCovered.timePeriodCoveredEnd	MDS_fairagro.citation.timePeriodCovered.timePeriodCoveredEnd	The end date of the time period that the data refer to		text	35		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.citation.timePeriodCovered	MDS_fairagro
	MDS_fairagro.generalExtended	MDS_fairagro.generalExtended	A set of generic metadata for datasets		none	36		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE		MDS_fairagro
	MDS_fairagro.generalExtended.identifier	MDS_fairagro.generalExtended.identifier	'Unique identifier for the Dataset (e.g. producer''s or another repository''s identifier)'		none	37		FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.identifier.identifierValue	MDS_fairagro.generalExtended.identifier.identifierValue	Another identifier uniquely identifies the Dataset		text	38		TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	MDS_fairagro.generalExtended.identifier	MDS_fairagro
	MDS_fairagro.generalExtended.identifier.identifierAgency	MDS_fairagro.generalExtended.identifier.identifierAgency	The name of the agency that generated the other identifier		text	39		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.identifier	MDS_fairagro
	MDS_fairagro.generalExtended.identifier.identifierURI	MDS_fairagro.generalExtended.identifier.identifierURI	A resolvable link corresponding to the identifier		text	40		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended.identifier	MDS_fairagro
	MDS_fairagro.generalExtended.resourceType	MDS_fairagro.generalExtended.resourceType	The nature or genre of the resource.		text	41		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.accessRights	MDS_fairagro.generalExtended.accessRights	Information about who access the resource or an indication of its security status.		text	42		TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.isAccessibleForFree	MDS_fairagro.generalExtended.isAccessibleForFree	A flag to signal that the item, event, or place is accessible for free.		text	43		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.yieldMeasurementMethod	MDS_fairagro.generalExtended.yieldMeasurementMethod	Information on how the yield measurement of the dataset was generated.		text	44		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.dataSource	MDS_fairagro.generalExtended.dataSource	Experiment type or data source from which the dataset was generated.		text	45		TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	MDS_fairagro.generalExtended	MDS_fairagro
	MDS_fairagro.generalExtended.sourceRDI	MDS_fairagro.generalExtended.sourceRDI	The original Research Data Infrastructure that the dataset was published by.		none	46		FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	MDS_fairagro.generalExtended	MDS_fairagro
